"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2212","Check displaying of dashboard page","LMS system","2026-09-19","passed","2026-09-19","Dashboard","Dashboard","",""
"","2739","User login with wrong email or password","LMS system","2026-09-19","passed","2026-09-19","Authorization","Authentication","",""
"","3742","Edit course","LMS system","2026-09-19","passed","2026-09-19","Courses","Courses","",""
"","0","test_login","tests.pytest","2026-09-19","passed","2026-09-19","TestUserAuthentication","test_markers","",""
"","5314","User login with correct email and password","LMS system","2026-09-19","passed","2026-09-19","Authorization","Authentication","",""
"","3851","Create course","LMS system","2026-09-19","passed","2026-09-19","Courses","Courses","",""
"","2393","Navigation from login page to registration page","LMS system","2026-09-19","passed","2026-09-19","Authorization","Authentication","",""
"","0","test_forgot_password_link","tests.pytest","2026-09-19","passed","2026-09-19","TestUserInterface","test_markers","",""
"","3342","Registration with correct email, username and password","LMS system","2026-09-19","passed","2026-09-19","Registration","Authentication","",""
"","2618","User login with wrong email or password","LMS system","2026-09-19","passed","2026-09-19","Authorization","Authentication","",""
"","1","test_password_rest","tests.pytest","2026-09-19","passed","2026-09-19","TestUserAuthentication","test_markers","",""
"","3481","Check displaying of empty courses list","LMS system","2026-09-19","passed","2026-09-19","Courses","Courses","",""
"","2691","User login with wrong email or password","LMS system","2026-09-19","passed","2026-09-19","Authorization","Authentication","",""
"","0","test_regression_case","tests.pytest","2026-09-19","passed","2026-09-19","","test_markers","",""
"","0","test_logout","tests.pytest","2026-09-19","passed","2026-09-19","TestUserAuthentication","test_markers","",""
