"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2392","Check displaying of empty courses list","LMS system","2026-09-24","passed","2026-09-24","Courses","Courses","",""
"","0","test_logout","tests.pytest","2026-09-24","passed","2026-09-24","TestUserAuthentication","test_markers","",""
"","0","test_regression_case","tests.pytest","2026-09-24","passed","2026-09-24","","test_markers","",""
"","2793","Edit course","LMS system","2026-09-24","passed","2026-09-24","Courses","Courses","",""
"","3029","Create course","LMS system","2026-09-24","passed","2026-09-24","Courses","Courses","",""
"","2896","User login with wrong email or password","LMS system","2026-09-24","passed","2026-09-24","Authorization","Authentication","",""
"","1686","Check displaying of dashboard page","LMS system","2026-09-24","passed","2026-09-24","Dashboard","Dashboard","",""
"","5832","User login with correct email and password","LMS system","2026-09-24","passed","2026-09-24","Authorization","Authentication","",""
"","2862","User login with wrong email or password","LMS system","2026-09-24","passed","2026-09-24","Authorization","Authentication","",""
"","0","test_forgot_password_link","tests.pytest","2026-09-24","passed","2026-09-24","TestUserInterface","test_markers","",""
"","0","test_login","tests.pytest","2026-09-24","passed","2026-09-24","TestUserAuthentication","test_markers","",""
"","0","test_password_rest","tests.pytest","2026-09-24","passed","2026-09-24","TestUserAuthentication","test_markers","",""
"","2473","Registration with correct email, username and password","LMS system","2026-09-24","passed","2026-09-24","Registration","Authentication","",""
"","2993","User login with wrong email or password","LMS system","2026-09-24","passed","2026-09-24","Authorization","Authentication","",""
"","2826","Navigation from login page to registration page","LMS system","2026-09-24","passed","2026-09-24","Authorization","Authentication","",""
