"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_regression_case","tests.pytest","2026-09-24","passed","2026-09-24","","test_markers","",""
"","2974","User login with wrong email or password","LMS system","2026-09-24","passed","2026-09-24","Authorization","Authentication","",""
"","3296","Registration with correct email, username and password","LMS system","2026-09-24","passed","2026-09-24","Registration","Authentication","",""
"","2617","Check displaying of empty courses list","LMS system","2026-09-24","passed","2026-09-24","Courses","Courses","",""
"","3223","Edit course","LMS system","2026-09-24","passed","2026-09-24","Courses","Courses","",""
"","0","test_login","tests.pytest","2026-09-24","passed","2026-09-24","TestUserAuthentication","test_markers","",""
"","0","test_forgot_password_link","tests.pytest","2026-09-24","passed","2026-09-24","TestUserInterface","test_markers","",""
"","3089","User login with wrong email or password","LMS system","2026-09-24","passed","2026-09-24","Authorization","Authentication","",""
"","0","test_logout","tests.pytest","2026-09-24","passed","2026-09-24","TestUserAuthentication","test_markers","",""
"","2561","Navigation from login page to registration page","LMS system","2026-09-24","passed","2026-09-24","Authorization","Authentication","",""
"","0","test_password_rest","tests.pytest","2026-09-24","passed","2026-09-24","TestUserAuthentication","test_markers","",""
"","2588","User login with wrong email or password","LMS system","2026-09-24","passed","2026-09-24","Authorization","Authentication","",""
"","4514","Create course","LMS system","2026-09-24","passed","2026-09-24","Courses","Courses","",""
"","2871","Check displaying of dashboard page","LMS system","2026-09-24","passed","2026-09-24","Dashboard","Dashboard","",""
"","5402","User login with correct email and password","LMS system","2026-09-24","passed","2026-09-24","Authorization","Authentication","",""
