"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2337","Edit course","LMS system","2026-09-19","passed","2026-09-19","Courses","Courses","",""
"","2649","Navigation from login page to registration page","LMS system","2026-09-19","passed","2026-09-19","Authorization","Authentication","",""
"","2116","Check displaying of empty courses list","LMS system","2026-09-19","passed","2026-09-19","Courses","Courses","",""
"","0","test_regression_case","tests.pytest","2026-09-19","passed","2026-09-19","","test_markers","",""
"","3415","Create course","LMS system","2026-09-19","passed","2026-09-19","Courses","Courses","",""
"","0","test_logout","tests.pytest","2026-09-19","passed","2026-09-19","TestUserAuthentication","test_markers","",""
"","1548","Check displaying of dashboard page","LMS system","2026-09-19","passed","2026-09-19","Dashboard","Dashboard","",""
"","4600","User login with correct email and password","LMS system","2026-09-19","passed","2026-09-19","Authorization","Authentication","",""
"","2772","User login with wrong email or password","LMS system","2026-09-19","passed","2026-09-19","Authorization","Authentication","",""
"","2512","User login with wrong email or password","LMS system","2026-09-19","passed","2026-09-19","Authorization","Authentication","",""
"","3533","Registration with correct email, username and password","LMS system","2026-09-19","passed","2026-09-19","Registration","Authentication","",""
"","0","test_password_rest","tests.pytest","2026-09-19","passed","2026-09-19","TestUserAuthentication","test_markers","",""
"","2712","User login with wrong email or password","LMS system","2026-09-19","passed","2026-09-19","Authorization","Authentication","",""
"","0","test_login","tests.pytest","2026-09-19","passed","2026-09-19","TestUserAuthentication","test_markers","",""
"","1","test_forgot_password_link","tests.pytest","2026-09-19","passed","2026-09-19","TestUserInterface","test_markers","",""
